Location,Slug,Street Address,City,State,Zip Code,Assigned Store,Order Count,First Order Date,Last Order Date,Days Since Last Order,Median Reorder Gap (days),Avg Food Total,Total Food Spend,Primary Source,Segment
Mercy David C. Pratt Cancer Center Hematology and Oncology Deptartment,mercy-david-c-pratt-cancer-center-hematology-and-oncology-deptartment,607 S New Ballas Rd Hematology and Oncology Deptartment,Creve Coeur,MO,63141.0,Creve Coeur,1,2026-05-01,2026-05-01,87,,936.94,936.94,Marketplace Takeout,warm
Mercy Gastroenterology,mercy-gastroenterology,615 S New Ballas Rd Suite 1200,St. Louis,MO,63141.0,West Oak,1,2026-05-28,2026-05-28,60,,362.5,362.5,Marketplace Takeout,warm
Mercy kids clinic,mercy-kids-clinic,12680 Olive Blvd 116,St. Louis,MO,63141.0,Creve Coeur,1,2026-05-15,2026-05-15,73,,142.45,142.45,Marketplace Takeout,warm
Mercy- Dr. Christopher Abercrombie,mercy--dr-christopher-abercrombie,1237 Water Tower Pl,Arnold,MO,63010.0,Tesson,1,2026-06-22,2026-06-22,35,,171.0,171.0,Marketplace Takeout,warm
Modern Litho,modern-litho,5001 Southwest Ave,St. Louis,MO,63110.0,West Oak,1,2026-06-19,2026-06-19,38,,475.2,475.2,Marketplace Takeout,warm
NOVUS Health,novus-health,3221 Oak Hill Ave,St. Louis,MO,63116.0,South City,1,2026-06-03,2026-06-03,54,,175.28,175.28,Marketplace Takeout,warm
Nephrology and hypertension specialist,nephrology-and-hypertension-specialist,10004 Kennerly Rd 374B,St. Louis,MO,63128.0,Tesson,1,2026-05-14,2026-05-14,74,,212.28,212.28,Marketplace Takeout,warm
Nortek Global HVAC - Rheem,nortek-global-hvac---rheem,8000 Phoenix Parkway,O'Fallon,MO,63368.0,O'Fallon,1,2026-06-16,2026-06-16,41,,353.0,353.0,Marketplace Takeout,warm
Office buliding 2,office-buliding-2,70 Jungermann Cir Suite 302,St. Peters,MO,63376.0,Lindenwood,1,2026-05-20,2026-05-20,68,,244.61,244.61,Marketplace Takeout,warm
Onyx Spine and Orthopedic,onyx-spine-and-orthopedic,425 N New Ballas Rd,Creve Coeur,MO,63141.0,West Oak,1,2026-05-06,2026-05-06,82,,256.75,256.75,Marketplace Takeout,warm
