apollo_account_id,location,slug,zip,store,segment
6a6a415bb9e6220018d77c13,Franciscan Oncology and Hematology,franciscan-oncology-and-hematology,46237,Greenwood,cold
6a6a415bcb4dd100204caebc,LM Indianapolis Office,lm-indianapolis-office,46240,Carmel,cold
6a6a415c7d32c00014d8f232,Franciscan Physician Network Cancer Center,franciscan-physician-network-cancer-center,46237,Greenwood,cold
6a6a415df1bab600189c0654,St Elizabeth Behavioral Health,st-elizabeth-behavioral-health,41017,Queen City Wild Eggs,cold
6a6a415e88caba002061c657,Crossroads. Oakley,crossroads-oakley,45209,Oakley,cold
6a6a415f7d32c00014d8f262,The Turn Vintage Warehouse,the-turn-vintage-warehouse,41071,Queen City Wild Eggs,cold
6a6a41603ddb01000c38d17e,PNC Center,pnc-center,45202,Queen City Wild Eggs,cold
6a6a4161f0044c001443b9dd,Louisville Pulmonary,louisville-pulmonary,40207,Dupont,cold
6a6a4162c7b09b002005b654,University of Louisville Oncology Department,university-of-louisville-oncology-department,40215,Mercantile,cold
6a6a4163f96e5900185c322c,Forefront Dermatology Downtown,forefront-dermatology-downtown,40202,Mercantile,cold
6a6a41640618ba0018f56176,Truepoint Wealth Counsel,truepoint-wealth-counsel,45242,Oakley,cold
6a6a41654e3437000cc97046,Cincinnati GI Anderson,cincinnati-gi-anderson,45255,Queen City Wild Eggs,cold
6a6a4166fb05170010b26dfe,University of Louisville Dental School,university-of-louisville-dental-school,40202,Mercantile,cold
6a6a41679f6f1500105e3f73,PepsiCo,pepsico,45242,Oakley,cold
6a6a4168ac483800149f711e,Ascension St. Vincent Hospital - Indianapolis,ascension-st-vincent-hospital---indianapolis,46260,Pulliam,cold
6a6a4169ae6283002077790a,HCN1 - Amazon,hcn1---amazon,41048,Queen City Wild Eggs,cold
6a6a416af036c7001405a9b7,Morgan Stanley,morgan-stanley,46240,Carmel,cold
6a6a416af6188c001410caab,Bowling Green Hot Rods Clubhouse,bowling-green-hot-rods-clubhouse,42101,Bowling Green,cold
6a6a416b88caba001ceea78a,Medical Academic Center,medical-academic-center,46032,Carmel,cold
6a6a416cf80a500020c34174,HUB Huran,hub-huran,45236,Oakley,cold
6a6a416d01d9650014d82d28,"Lindner College of Business, UC",lindner-college-of-business-uc,45221,Queen City Wild Eggs,cold
6a6a416e4eef2400207590a3,Baptist Health Louisville Oncology / Hematology,baptist-health-louisville-oncology---hematology,40207,Dupont,cold
6a6a416ff1bab6001028216e,Springhilll Hill Suites Louisville Airport,springhilll-hill-suites-louisville-airport,40209,Mercantile,cold
6a6a416f5214390014a0a98b,Norton Neurosciences,norton-neurosciences,40207,Dupont,cold
6a6a41704eef2400207590c8,Louisville Slugger S,louisville-slugger-s,40202,Mercantile,cold
6a6a4171e64d5d00130962a8,Brown Cancer Centee Terra Crossing Blvd,brown-cancer-centee-terra-crossing-blvd,40245,Landis,cold
6a6a41727d32c00014d8f2f4,Ford Motor Company,ford-motor-company,40213,Mercantile,cold
6a6a4173cfd017000c93208e,Franciscan Health Indianapolis,franciscan-health-indianapolis,46237,Greenwood,cold
6a6a41744eef2400207591c1,Churchill Downs Incoprorated,churchill-downs-incoprorated,40222,Westport,cold
6a6a4174d24bd30020ebec5e,TriHealth Pharmacy Solutions,trihealth-pharmacy-solutions,45212,Oakley,cold
